group,label,n,seed,rel_error,signed_error,clamped,result,exact
accumulation,fp32 reversed,256,5,1.621844e-07,-1.621844e-07,0,40.323928833007810,40.323935372921845
accumulation,fp32 pairwise,256,5,2.701821e-08,2.701821e-08,0,40.323936462402344,40.323935372921845
accumulation,fp32 blocked,256,5,3.108222e-07,3.108222e-07,0,40.323947906494140,40.323935372921845
accumulation,fp16 sequential,256,5,1.833536e-03,-1.833536e-03,0,40.250000000000000,40.323935372921845
accumulation,fp16 reversed,256,5,2.041334e-03,2.041334e-03,0,40.406250000000000,40.323935372921845
accumulation,fp16 pairwise,256,5,1.833536e-03,-1.833536e-03,0,40.250000000000000,40.323935372921845
accumulation,fp16 blocked,256,5,2.109339e-04,-2.109339e-04,0,40.315429687500000,40.323935372921845
accumulation,bf16 sequential,256,5,1.833536e-03,-1.833536e-03,0,40.250000000000000,40.323935372921845
accumulation,bf16 reversed,256,5,8.033327e-03,-8.033327e-03,0,40.000000000000000,40.323935372921845
accumulation,bf16 pairwise,256,5,1.423312e-02,-1.423312e-02,0,39.750000000000000,40.323935372921845
accumulation,bf16 blocked,256,5,2.721393e-02,-2.721393e-02,0,39.226562500000000,40.323935372921845
cast+accumulation,bf16 in / fp32 sequential,256,5,6.672541e-03,6.672541e-03,0,40.592998504638670,40.323935372921845
cast+accumulation,bf16 in / fp32 pairwise,256,5,6.671785e-03,6.671785e-03,0,40.592967987060550,40.323935372921845
cast+accumulation,bf16 in / fp16 sequential,256,5,5.916204e-03,5.916204e-03,0,40.562500000000000,40.323935372921845
cast+accumulation,bf16 in / fp16 pairwise,256,5,5.141230e-03,5.141230e-03,0,40.531250000000000,40.323935372921845
cast+accumulation,bf16 in / bf16 sequential,256,5,1.676584e-02,1.676584e-02,0,41.000000000000000,40.323935372921845
cast+accumulation,bf16 in / bf16 pairwise,256,5,1.676584e-02,1.676584e-02,0,41.000000000000000,40.323935372921845
scaling,e4m3 none,256,5,5.477200e-03,-5.477200e-03,0,40.103073120117190,40.323935372921845
scaling,e4m3 per-tensor,256,5,2.312447e-02,2.312447e-02,0,41.256404876708984,40.323935372921845
scaling,e4m3 mx32 spec,256,5,1.582616e-02,1.582616e-02,4,40.962108612060550,40.323935372921845
